nombre,estado,municipio,ciudad,cp,lat,lon
Avenida Francisco I Madero,Michoacán,Morelia,Morelia,58000,19.7030564,-101.1935898
Ignacio Zaragoza,Michoacán,Morelia,Morelia,58000,19.7032528,-101.1933058
Ignacio Zaragoza,Michoacán,Morelia,Morelia,58000,19.7030538,-101.1933846
Avenida General Gabriel Tepepa,Morelos,Cuautla,Cuautla,62740,18.8243493,-98.94551305238983
Libramiento Cuautla,Morelos,Cuautla,Cuautla,62748,18.8631439,-98.9475403
Calle Ayuntamiento de 1829,Morelos,Cuautla,Cuautla,62740,18.8151977,-98.9517233
Calle Ejército Americano,Morelos,Cuautla,Cuautla,62740,18.8119708,-98.9513926
Calle Mariano Antonio y Máximo Bravo,Morelos,Cuautla,Cuautla,62740,18.8102422,-98.9516824
Calle Coronel Garduño,Morelos,Cuautla,Cuautla,62740,18.8107465,-98.9560945
Carretera México-Oaxaca,Morelos,Cuautla,Cuautla,72743,18.8014757,-98.9276385
Carretera México-Oaxaca,Morelos,Cuautla,Cuautla,72743,18.7983409,-98.9212936
Calle Sor Juana Inés de la Cruz,Morelos,Cuautla,Cuautla,72743,18.7996089,-98.9153632
Carretera México-Oaxaca,Morelos,Cuautla,Cuautla,72743,18.7957278,-98.9170382
Libramiento Cuautla,Morelos,Cuautla,Cuautla,62748,18.8631439,-98.9475403
Avenida General Gabriel Tepepa,Morelos,Cuautla,Cuautla,62740,18.8243493,-98.94551305238983
Calle Ayuntamiento de 1829,Morelos,Cuautla,Cuautla,62740,18.8151977,-98.9517233
Centro Vacacional,Morelos,Yautepec,,62738,18.8984789,-98.9707507
Centro Vacacional,Morelos,Yautepec,,62738,18.8997973,-98.9699766
Calle Centro Vacacional,Morelos,Yautepec,,62738,18.9000917,-98.9708456
Calle Centro Vacacional,Morelos,Yautepec,,62738,18.9012971,-98.9707879
Nezahualcóyotl,Morelos,Cuernavaca,Cuernavaca,62000,18.9201971,-99.2359859
Nezahualcóyotl,Morelos,Cuernavaca,Cuernavaca,62000,18.9191171,-99.235911
Calle Fray Bartolomé de las Casas,Morelos,Cuernavaca,Cuernavaca,62000,18.9203931,-99.2339753
Calle Miguel Hidalgo,Morelos,Cuernavaca,Cuernavaca,62000,18.9211509,-99.234232
Avenida José María Morelos y Pavón,Morelos,Cuernavaca,Cuernavaca,62000,18.9222766,-99.2376285
Calle Gutemberg,Morelos,Cuernavaca,Cuernavaca,62000,18.9222568,-99.232883
Calle Mariano Matamoros,Morelos,Cuernavaca,Cuernavaca,62000,18.9250356,-99.23688052334606
Calle General Mariano Arista,Morelos,Cuernavaca,Cuernavaca,62000,18.92550655,-99.2373716118714
Calle No Reelección,Morelos,Cuernavaca,Cuernavaca,62000,18.92622045,-99.2365243998396
Calle Mariano Matamoros,Morelos,Cuernavaca,Cuernavaca,62000,18.9271907,-99.2377417
Calle Pino,Morelos,Jiutepec,,62550,18.8925197,-99.1712154
